Sample_Name,values
Powellia_acuta,0.07501949996647261
Powellia_acuta_B,0.07501949996771407
Powellia_bifida,0.06635544834731655
Powellia_BRENDA_MAY,0.08495002186287848
Powellia_colorata,0.10896366748788089
Powellia_compressa,0.0909661375105415
Powellia_dacrydii,0.12408293313335017
Powellia_decurvata,0.10189753596884055
Powellia_discariae,0.059566605227528435
Powellia_doryphora,0.0662006723364359
Powellia_emarginata,0.07646770537728176
Powellia_falcata,0.07250178631783599
Powellia_fasciata,0.11633116338344929
Powellia_FORTROSE,0.12446337079044589
Powellia_gourlayi,0.06635544834782348
Powellia_hebicola,0.21369371638633483
Powellia_irregularis,0.10257691272503844
Powellia_MASSEY,0.05948240175354713
Powellia_obscura,0.15104160980009262
Powellia_OMAHUTA,0.07997226419524295
Powellia_panacis,0.08481699311336688
Powellia_PRICES_VALLEY,0.1970975867925917
Powellia_sp_A,0.06680100921342902
Powellia_sp_B,0.07819287988364598
Powellia_sp_C,0.09392419842560251
Powellia_sp_D,0.0646463415815215
Powellia_subacuta,0.0648942794181262
Powellia_subvexa,0.06489427941812509
Powellia_vitreoradiata,0.07941891589721661
