OTU,values
SV100_Candidatus_Carsonella,0.980941795632883
SV101_Candidatus_Carsonella,0.980880567169673
SV102_Candidatus_Carsonella,0.9799493566250438
SV103_Candidatus_Carsonella,0.9357142020228388
SV104_Candidatus_Carsonella,0.980305882532021
SV105_Candidatus_Carsonella,0.9788994778136638
SV106_Candidatus_Carsonella,0.9732336471143282
SV107_Candidatus_Carsonella,0.972241396251993
SV108_Candidatus_Carsonella,0.9752362979783576
SV109_Candidatus_Carsonella,0.9742021387618051
SV10_Novosphingobium,0.8021389848408095
SV110_Candidatus_Carsonella,0.9746956161759336
SV111_Candidatus_Carsonella,0.9203082596229146
SV112_Candidatus_Carsonella,0.9214635739152353
SV113_Candidatus_Carsonella,0.8963943071560494
SV114_Candidatus_Carsonella,0.8948125518141029
SV115_Candidatus_Carsonella,0.8914814952827274
SV116_Candidatus_Carsonella,0.8904270795126992
SV117_Candidatus_Carsonella,0.8944999717512491
SV118_Candidatus_Carsonella,0.8932932071319744
SV119_Candidatus_Carsonella,0.8828433113498729
SV11_Novosphingobium,0.8370804326869399
SV120_Candidatus_Carsonella,0.8955812289051298
SV121_o__Ga0077536,0.8899921873839051
SV122_Diplorickettsia,0.9115164788888653
SV123_Diplorickettsia,0.8796748405638272
SV124_Pseudomonas,0.9117257210313598
SV125_Pseudomonas,0.8850545492229327
SV126_Pseudomonas,0.924370081205761
SV127_f__Pseudomonadaceae,0.9827868072324857
SV128_Pseudomonas,0.9140889692820395
SV129_Pseudomonas,0.8354493410898054
SV12_Novosphingobium,0.6713074068546269
SV130_Pseudomonas,0.9153059933559058
SV131_Pseudomonas,0.8870218674123357
SV132_Pseudomonas,0.9133333418621603
SV133_Pseudomonas,0.9087255001138328
SV134_Pseudomonas,0.887238579433112
SV135_Pseudomonas,0.8029011420376626
SV136_Pseudomonas,0.8840729199671377
SV137_Pseudomonas,0.8995203469963424
SV138_Pseudomonas,0.8534311819812345
SV139_Pseudomonas,0.8698715065428485
SV13_Novosphingobium,0.5518849208457981
SV140_Pseudomonas,0.8770606999883104
SV141_Pseudomonas,0.9481756470052916
SV142_Pseudomonas,0.8806165003031019
SV143_Pseudomonas,0.8461095848970881
SV144_Pseudomonas,0.9103753026525632
SV145_Pseudomonas,0.888585723663201
SV146_Pseudomonas,0.9077686707427782
SV147_Pseudomonas,0.8614802131031325
SV148_Pseudomonas,0.8592426221601723
SV149_Pseudomonas,0.8502563837962027
SV14_Sphingobium,0.48460187328469156
SV150_f__Pseudomonadaceae,0.9863337447993383
SV151_Pseudomonas,0.9086654521343835
SV152_Alcanivorax,0.8931141190025124
SV153_o__Aeromonadales,0.9143422965841739
SV154_Aeromonas,0.8726914018348642
SV155_o__Enterobacterales,0.9617602248331938
SV156_o__Enterobacterales,0.8862668595607123
SV157_Sodalis,0.8133775551051148
SV158_Sodalis,0.705902281880403
SV159_Sodalis,0.8275302821412855
SV15_Sphingobium,0.10940342010930891
SV160_Sodalis,0.8714217902788779
SV161_Sodalis,0.8741796693707826
SV162_c__Gammaproteobacteria,0.9213270713654258
SV163_o__Enterobacterales,0.9200359641850557
SV164_o__Enterobacterales,0.883802864803785
SV165_c__Gammaproteobacteria,0.9291171055040205
SV166_o__Enterobacterales,0.8295701587448586
SV167_o__Enterobacterales,0.8738851916506103
SV168_Sodalis,0.8580172650944106
SV169_Sodalis,0.8720886750449572
SV16_Sphingobium,0.3555624004995663
SV170_Sodalis,0.8463363792131765
SV171_o__Enterobacterales,0.962071876293329
SV172_f__Pectobacteriaceae,0.9212113882937774
SV173_o__Enterobacterales,0.943925301344011
SV174_o__Enterobacterales,0.8725806270694167
SV175_c__Gammaproteobacteria,0.9798656691865417
SV176_c__Gammaproteobacteria,0.9618766654516827
SV177_d__Bacteria,0.8757799150895786
SV178_c__Gammaproteobacteria,0.9364262045212361
SV179_c__Gammaproteobacteria,0.9811816086056996
SV17_Reyranella,0.5503805269780354
SV180_o__Enterobacterales,0.8298502247638985
SV181_o__Enterobacterales,0.8833268881490428
SV182_o__Enterobacterales,0.9155646709973357
SV183_c__Gammaproteobacteria,0.918188713303874
SV184_o__Enterobacterales,0.8679535794818632
SV185_o__Enterobacterales,0.7986792470063865
SV186_o__Enterobacterales,0.9308350719094698
SV187_o__Enterobacterales,0.9030118240553994
SV188_f__Morganellaceae,0.9053690734461461
SV189_o__Enterobacterales,0.8796957781123478
SV18_Reyranella,0.6511091493178396
SV190_c__Gammaproteobacteria,0.9352509233992851
SV191_o__Enterobacterales,0.9211453516136627
SV192_f__Morganellaceae,0.9084173763570796
SV193_f__Morganellaceae,0.8200007693487346
SV194_f__Morganellaceae,0.8984062289641012
SV195_f__Morganellaceae,0.8829030992259627
SV196_f__Morganellaceae,0.8773073355737131
SV197_o__Enterobacterales,0.858869393241342
SV198_endosymbionts,0.8752368623823775
SV199_endosymbionts,0.8862947142671396
SV19_Reyranella,0.6046203089614844
SV1_f__Sphingomonadaceae,0.7316215824434116
SV200_c__Gammaproteobacteria,0.8764364341635087
SV201_d__Bacteria,0.8823971802855056
SV202_c__Gammaproteobacteria,0.9863519431127796
SV203_c__Gammaproteobacteria,0.948372802197563
SV204_c__Gammaproteobacteria,0.9013717371199337
SV205_c__Gammaproteobacteria,0.9877637968047427
SV206_c__Gammaproteobacteria,0.9841254188114392
SV207_c__Gammaproteobacteria,0.9200662899815388
SV208_c__Gammaproteobacteria,0.970472555371134
SV209_c__Gammaproteobacteria,0.9671036045141074
SV20_Reyranella,0.6723946465930793
SV210_d__Bacteria,0.9859284279765168
SV211_c__Gammaproteobacteria,0.9812306351100296
SV212_c__Gammaproteobacteria,0.9860969540057137
SV213_c__Gammaproteobacteria,0.9241677982044251
SV214_d__Bacteria,0.9176646581966592
SV215_o__Enterobacterales,0.9095423852482506
SV216_c__Gammaproteobacteria,0.9356500237356964
SV217_d__Bacteria,0.9086593714769269
SV218_c__Gammaproteobacteria,0.9056475407914987
SV219_c__Gammaproteobacteria,0.8787489723137322
SV21_Reyranella,0.26436631697646434
SV220_c__Gammaproteobacteria,0.9100794236414175
SV221_c__Gammaproteobacteria,0.9053049094978205
SV222_c__Gammaproteobacteria,0.9079938834380135
SV223_o__Enterobacterales,0.8501533447690054
SV224_c__Gammaproteobacteria,0.8586961936616527
SV225_o__Enterobacterales,0.9800644483725974
SV226_o__Enterobacterales,0.983806823898038
